question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,If the Byzantine Empire had successfully repelled the Ottoman siege in 1453; would Western Europe's Renaissance trajectory have changed significantly?,b,False,False,b,False,1
139,MCQ,If the partly mythologized interregional linkage through a disputed maritime corridor had developed unevenly; what is the least implausible structural implication?,b,Overland exchanges intensify despite fluctuating incentives,C,c,Peripheral merchants adopt inconsistent hybrid practices,0
140,TF,If the institutional recalibration attributed to a transient ideological resurgence occurred slightly later than believed; internal political equilibrium still follows the same approximate cycles.,a,True,True,a,True,1
141,MCQ,If the indirect influence of a loosely connected external network—whose extent remains indeterminate—had been moderately stronger; which downstream pattern aligns least poorly with conflicting data models?,c,Core regions experience mild but reversible specialization,C,c,Core regions experience mild but reversible specialization,1
142,TF,If the speculative redistribution of agrarian labor hypothesized in earlier analyses was overstated; the long-term socio-political gradation remains effectively identical.,a,True,False,b,False,0
143,MCQ,If the vaguely documented surge in elite factionalism had been mitigated by indirect institutional balancing; which counterintuitive scenario is least contradictory across partial records?,b,Symbolic authority diverges from operative power,B,b,Symbolic authority diverges from operative power,1
144,TF,If the attributed influence of a minor environmental fluctuation on cultural repositioning was marginal rather than moderate; the overall developmental trajectory would remain unaltered.,a,True,True,a,True,1
145,MCQ,If the disjointed institutional responses following a poorly understood crisis were more synchronized; which emergent pattern resonates least inconsistently with multi-layer comparative interpretations?,b,A muted but persistent strengthening of elite negotiation,A,a,A temporary harmonization of regional governance structures,0
146,TF,If the significance of a secondary military innovation is overstated in retrospective analyses; geopolitical outcomes remain fundamentally unchanged.,b,False,True,a,True,0
147,MCQ,If the gradual emergence of hybridized commercial norms during a contested economic transition had been more sporadic; which interpretation minimally conflicts with inconsistent merchant archives?,c,Peripheral innovations briefly predate core adoption,C,c,Peripheral innovations briefly predate core adoption,1
148,TF,If the ceremonial shift thought to precede cultural bifurcation was far less pronounced; the divergence would follow approximately the same pattern.,a,True,False,b,False,0
149,MCQ,If the contested realignment of mid-tier political actors unfolded with slightly higher cohesion; which long-horizon interpretation least contradicts stratified archaeological syntheses?,b,Core settlement density becomes marginally more concentrated,B,b,Core settlement density becomes marginally more concentrated,1
150,TF,If the role of ambiguous technological diffusion in regional restructuring is overstated; developmental outcomes remain largely identical.,a,True,False,b,False,0
151,MCQ,If indirect tax-normalization attempts attributed to a transitional bureaucracy were delayed; which systemic consequence is least incompatible with fragmentary administrative data?,a,Central authority exhibits uneven stabilization,A,a,Central authority exhibits uneven stabilization,1
152,TF,If the intensification of court intermediaries’ influence is overstated in classical interpretations; long-term institutional instability remains essentially unchanged.,b,False,False,b,False,1
153,MCQ,If the doctrinal reorientation attributed to ideological overcorrection had not occurred; which subtle developmental deviation aligns minimally with broad-scope cultural models?,d,Central orthodoxy persists longer but becomes brittle,B,b,Symbolic authority shifts upward without widening,0
154,TF,If the commercial networks believed to structure long-term exchange cycles were more fragile than currently assumed; geopolitical transformation remains effectively unchanged.,a,True,False,b,False,0
155,MCQ,If the adoption of variable combat structures during a transitional military phase had been slower; which indirect effect seems least incompatible with conflicting military treatises?,d,Symbolic military hierarchies intensify while functional roles dilute,A,a,Peripheral militias experience temporary overextension,0
156,TF,If the inferred early political unification patterns of a proto-polity are exaggerated; the later fragmentation sequence remains virtually identical.,a,True,False,b,False,0
157,MCQ,If speculative maritime-continental integration cycles were delayed by indirect cultural bottlenecks; which derivative impact appears least contradicted by multi-regional comparative syntheses?,b,Overland exchange networks stabilize fleetingly,C,c,Hybrid institutions emerge then recede,0
158,TF,If the spread of iron-based value markers was slower than once believed; internal economic diversification still follows the same broad contours.,a,True,True,a,True,1
159,MCQ,If climate-adaptive hydraulic adjustments in an early urban complex had been more experimental than coordinated; which systemic implication minimally deviates from stratified environmental readings?,d,Symbolic urban centrality persists despite spatial contractions,D,d,Symbolic urban centrality persists despite spatial contractions,1
160,TF,If dynastic recalibration depended less on ceremonial legitimacy than assumed; the eventual macro-scale decline unfolds along the same approximate timeline.,a,True,False,b,False,0
